web_scraper_order,web_scraper_start_url,link,prix,adresse,image_lien,details
"1766770587-1","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-de-race-1291213","70 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_1291213_uploaded_image1_1575425609.27.png","Je suis un éleveur de lapin de race"
"1766770590-2","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-de-race-1291215","70 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_1291215_uploaded_image1_1575425694.27.png","Lapins de race à vendre en bonne santé"
"1766770595-3","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/dinde-damerique-1346036","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_1346036_uploaded_image1_1576462750.49.png","Nous vendons des dindes ; colvert ; canard ; pigeons ; poulet local etc....
Veillez me contacter pour plus d'information  merci"
"1766770600-4","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/oeuf-feconde-1365452","240CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1365452_uploaded_image1_1576790350.48.png","Des œufs fécondés de qualité, pour des poussins en bonne santé.
Nous produisons des œufs fécondés de Ross 308. 
Les poulet de chairs.
Notre stock est toujours disponible. 
Nous livrons dans 3 jours après la validation de votre commande 
Nous livrons minimum une palette qui contient 8640 œufs. 
NB: si vous avez besoin plus d'informations ou d'un incubateur n'hésitez pas à nous contacter."
"1766770602-5","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/trio-bantam-de-pekin-1415870","60 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1415870_uploaded_image1_1577915713.92.png","Trio bantam de pékin (male noir femele noir et gris)"
"1766770604-6","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/brahmane-1415899","50 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1415899_uploaded_image1_1577916626.18.png","Couple brahmane adulte"
"1766770607-7","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-race-1417714","40 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1417714_uploaded_image1_1577970779.66.png","Baramane de race"
"1766770610-8","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussin-hermine-7-jours-1432855","15 000CFA","Sénégal","https://images.coinafrique.com/thumb_1432855_uploaded_image1_1578928555.77.png","Des poussins hermines sont disponible sur prix
Merci"
"1766770612-9","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poule-1461888","35 000CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_1461888_uploaded_image1_1578719186.99.png","Une mâle de poule de race baraman à vendre"
"1766770615-10","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/males-bantam-de-pekin-1480111","15 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1480111_uploaded_image1_1579028647.6.png","Des males de bantam de pékin à vendre à un prix abordable"
"1766770617-11","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-1521236","40 000CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_1521236_uploaded_image1_1579695858.03.png","Un mâle de race baraman disponible"
"1766770619-12","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-cochin-1577201","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1577201_uploaded_image1_1580561085.8.png","Couple cochin adulte(male et une femele coucou)"
"1766770622-13","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/oies-1584132","90 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1584132_uploaded_image2_1580714620.25.png","Couple  oie à vendre prix abordable"
"1766770624-14","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/femelle-cochin-bleu-1599500","30 000CFA","Les Parcelles Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_1599500_uploaded_image1_1580916087.86.png",""
"1766770627-15","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poule-1645136","55 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1645136_uploaded_image1_1581608040.8.png","Couple cochin adulte à vendre"
"1766770629-16","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/blond-panoramin-1654385","40 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_1654385_uploaded_image1_1581775358.47.png",""
"1766770632-17","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-metisse-1687460","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1687460_uploaded_image1_1582336381.54.png","Je mets en vente des lapin métissé"
"1766770634-18","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/paon-1691196","250 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1691196_uploaded_image1_1582420837.2.png",""
"1766770638-19","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coq-orpington-fauve-1699722","35 000CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_1699722_uploaded_image1_1582581938.31.png","Vente de coq Orpington fauve"
"1766770641-20","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-1712742","65 000CFA","Dakar-Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_1712742_uploaded_image1_1582798028.37.png","Couple pigeons de race"
"1766770643-21","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussin-orpington-1716103","5 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1716103_uploaded_image1_1582837127.36.png","Des poussins Orpington disponible à 5000fcfa l'unité"
"1766770646-22","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coq-1723625","25 000CFA","Les Parcelles Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_1723625_uploaded_image1_1582972350.31.png","Baraman disponible mâle à bon prix"
"1766770648-23","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-angora-1732205","25 000CFA","Thies Nord, Thiès, Sénégal","https://images.coinafrique.com/thumb_1732205_uploaded_image1_1583152160.0.png","Lapin de race Angora"
"1766770651-24","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/male-bantam-1773437","20 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1773437_uploaded_image1_1583858452.61.png","Mâles bantam de pékin de 7 mois à vendre"
"1766770653-25","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-texan-paon-indien-1804515","60 000CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_1804515_uploaded_image1_1584398280.63.png","Des couple texan et paon indien disponible"
"1766770656-26","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-texan-paon-indien-1804522","60 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1804522_uploaded_image1_1584398352.13.png","Des couple texan et paon indien disponible"
"1766770658-27","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/paon-indien-1804679","30 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1804679_uploaded_image1_1584402291.56.png","Bonjour je vend une  couple a paon indien"
"1766770661-28","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-1804847","2 700CFA","Sénégal","https://images.coinafrique.com/thumb_1804847_uploaded_image1_1584408926.38.png","Livraison a domicile a partir de 5 poulets 1kilo700 et 2kilo"
"1766770663-29","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/cop-brahma-1812172","40 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_1812172_uploaded_image1_1584528622.9.png","Brahma à vendre race pure bonne santé ."
"1766770665-30","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-1831098","13 000CFA","Dakar-Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_1831098_uploaded_image1_1584866026.02.png","Pigeon voyageur"
"1766770668-31","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-1831100","13 000CFA","Dakar-Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_1831100_uploaded_image1_1584866055.19.png","Pigeon voyageur"
"1766770670-32","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-1842198","3 000CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_1842198_uploaded_image1_1585068914.59.png","Avez vous besoin de poulet appelez nous.     
Distributeur de poulets de chairs faites vos commandes"
"1766770673-33","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-mondain-boulan-1856511","Prix sur demande","Louga, Sénégal","https://images.coinafrique.com/thumb_1856511_uploaded_image1_1585321343.73.png","De beaux pigeons mondains boulans ou métisses disponibles en quantité et en qualité"
"1766770675-34","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-1888745","2 500CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1888745_uploaded_image1_1585919292.3.png","Des poulet de chair de bonne qualité disponible"
"1766770678-35","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-paon-1890068","40 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1890068_uploaded_image1_1585932988.65.png",""
"1766770681-36","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-1890093","30 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1890093_uploaded_image1_1585933267.84.png",""
"1766770684-37","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-laor-1890181","40 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1890181_uploaded_image1_1585934252.04.png",""
"1766770686-38","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-king-1890193","35 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1890193_uploaded_image1_1585934383.75.png",""
"1766770689-39","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coq-orpitone-1890489","30 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1890489_uploaded_image1_1585937996.82.png",""
"1766770691-40","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-1907954","3 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1907954_uploaded_image1_1586270049.67.png",""
"1766770694-41","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/orpington-1913036","30 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1913036_uploaded_image1_1586352896.21.png",""
"1766770696-42","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-1913175","Prix sur demande","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_1913175_uploaded_image1_1586355015.48.png","Lapins très bien entretenus mâles et femelles en vente.à votre choix.prix sur demande. Merci"
"1766770699-43","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-1918730","2 750CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1918730_uploaded_image1_1586442251.23.png","Visible à yeumbeul"
"1766770701-44","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-de-chairs-1934126","2 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1934126_uploaded_image1_1586708547.66.png","Guinars you bakh lolou 1kg800 et 2kg
rak tak"
"1766770703-45","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-1963021","2 400CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1963021_uploaded_image1_1587139946.35.jpeg","1kg700 a 1kg900 et frais de livraison"
"1766770706-46","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-1963033","2 400CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1963033_uploaded_image1_1587140018.16.jpeg","1kg700 a 1kg900"
"1766770708-47","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussins-nes-le-8-avril-1971696","650CFA","Saly, Sénégal","https://images.coinafrique.com/thumb_1971696_uploaded_image1_1587287294.47.jpeg","Je vends des poussins de chair nés le 8 avril j'en ai environ 350
et 10 poussins bleu de hollande à 950 fcfa"
"1766770711-48","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-brahman-1975396","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1975396_uploaded_image1_1587342507.59.jpeg","Couple brahman adulte de 7 mois contactez-moi"
"1766770713-49","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-de-chair-1988804","2 500CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_1988804_uploaded_image1_1587553659.jpg","Nous vous proposons des poulets de bonne qualité à partir de 2500 F ( prix au détail )
Vente en gros possible"
"1766770716-50","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussins-brahman-colombia-1990096","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1990096_uploaded_image1_1587571540.jpg","Poussins de brahman colombia de 3 semaines disponible
Venez vite"
"1766770718-51","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-1992182","35 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_1992182_uploaded_image1_1587592805.jpg","Pigeon rouge"
"1766770721-52","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-laor-1995115","50 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1995115_uploaded_image1_1587645382.jpg","A vendre"
"1766770723-53","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-1995134","50 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1995134_uploaded_image1_1587645507.jpg",""
"1766770726-54","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-laor-1995183","50 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1995183_uploaded_image1_1587645917.jpg",""
"1766770728-55","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-laor-1995210","50 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1995210_uploaded_image1_1587646147.jpg",""
"1766770730-56","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/oie-1997244","35 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1997244_uploaded_image1_1587667066.jpg","2 mois"
"1766770733-57","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-2001942","3 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2001942_uploaded_image2_1587735661.98.jpeg","Pour plus d'information appelez moi ou whatsapp possibilité de livraison"
"1766770736-58","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-a-vendre-et-oeufs-2002375","2 200CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2002375_uploaded_image1_1587741273.jpg","Je vends des poulets sur pieds et des œufs à 1500FCFA  si vous passez récupérer votre commande, 1600 si c'est moi qui vous l'amène."
"1766770738-59","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-2021584","4 200CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2021584_uploaded_image1_1588073587.jpg",""
"1766770741-60","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-pigeon-cravate-2082389","30 000CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_2082389_uploaded_image1_1588989025.jpg","Je Vends couple pigeon cravate français et couple pigeon lavande adulte"
"1766770744-61","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-bleu-hollandais-2106379","30 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2106379_uploaded_image1_1589378473.jpg","Bleu hollandais"
"1766770746-62","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-2132014","3 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2132014_uploaded_image1_1589793253.jpg","Poulet"
"1766770749-63","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-male-2172605","2 200CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2172605_uploaded_image1_1590453736.jpg","Je veux des poulets de bonne qualité à un prix raisonnable"
"1766770751-64","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-lavande-2203490","35 000CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_2203490_uploaded_image1_1590929887.jpg","Je vends un couple pigeon lavande"
"1766770754-65","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-2218341","2 500CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_2218341_uploaded_image1_1591159723.jpg","Plus de 300 poulets sur pieds vendues à 2.400f le tout 1.9kg à 2.2kg...
je suis au cités Nations Unis"
"1766770756-66","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-2221308","15 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_2221308_uploaded_image1_1591193544.jpg","Nous vendons des lapins et lapereaux de toutes races à des prix incontournables"
"1766770759-67","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-2221541","20 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_2221541_uploaded_image1_1591196081.jpg","Nous vendons des lapins et lapereaux de toutes races à des prix incontournables"
"1766770761-68","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-angora-francaise-2223516","15 000CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_2223516_uploaded_image1_1591222379.jpg","Je vends des lapins race blanche angora française de 52 jours 
à des prix imbattables"
"1766770763-69","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-2229912","15 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2229912_uploaded_image1_1591309427.jpg","Je vends des lapins de races blanches angora française âgées de 52 jours à des prix imbattables.
n'hésitez pas à passer votre commande avec la possibilité d'une livraison à domicile"
"1766770766-70","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussin-brahmane-2257183","12 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2257183_uploaded_image1_1591743270.jpg",""
"1766770768-71","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussin-brahmane-2257189","12 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2257189_uploaded_image1_1591743386.jpg",""
"1766770771-72","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/jeunes-males-brahman-2258568","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2258568_uploaded_image1_1591778766.jpg","Trois jeunes males brahman à céder 
faîtes vite"
"1766770773-73","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-bramane-productrice-2263150","65 000CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_2263150_uploaded_image1_1591826889.jpg","Couple bramane productrice"
"1766770776-74","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/culbita-rakovni-2270078","40 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2270078_uploaded_image1_1591913628.5.jpeg","Culbita rakovni"
"1766770779-75","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/cochin-coucou-2283626","40 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2283626_uploaded_image1_1592152112.jpg",""
"1766770781-76","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/cochin-2283654","40 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2283654_uploaded_image1_1592152413.jpg","Coucou"
"1766770784-77","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poules-2284382","40 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2284382_uploaded_image1_1592163164.jpg","Cochin coucou 2 mois"
"1766770786-78","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-2284393","40 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2284393_uploaded_image1_1592163359.jpg","Cochin coucou  2mois"
"1766770788-79","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-2289615","3 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_2289615_uploaded_image1_1592241607.jpg",""
"1766770791-80","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-lapereaux-2297368","20 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_2297368_uploaded_image1_1592352689.jpg","Nous vendons des lapins et lapereaux de toutes races à des prix incontournables .
votre satisfaction,notre priorité.!"
"1766770793-81","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/cauchoix-pair-2321095","70 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2321095_uploaded_image1_1592725829.jpg",""
"1766770796-82","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-2321099","60 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2321099_uploaded_image1_1592725966.jpg","Linsse pair"
"1766770802-83","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussins-brahmane-blanc-2321103","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2321103_uploaded_image1_1592726101.jpg",""
"1766770804-84","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/paon-pigeon-2323541","35 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2323541_uploaded_image1_1592764212.jpg",""
"1766770807-85","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-2323545","70 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2323545_uploaded_image1_1592764300.jpg","Lince"
